rebalance_date,asof_date,symbol,score,selected
2017-02-28,2016-11-30,TEL,-0.18539156529506828,False
2017-02-28,2016-11-30,KOG,-0.4076926261579796,False
2017-02-28,2016-11-30,EQNR,-0.5722460784083279,False
2017-02-28,2016-11-30,AKRBP,-0.7802927184278083,False
2017-02-28,2016-11-30,STB,-0.8135747107130752,False
2017-02-28,2016-11-30,FRO,-0.9255761023174871,False
2017-02-28,2016-11-30,DNB,-1.354214707009654,False
2017-03-31,2016-12-31,SALM,0.912586494248771,True
2017-03-31,2016-12-31,AFG,0.8129677322571313,True
2017-03-31,2016-12-31,MOWI,0.47856061722049015,True
2017-03-31,2016-12-31,BRG,0.4099262753131342,True
2017-03-31,2016-12-31,VEI,0.3939321662409457,True
2017-03-31,2016-12-31,TEL,0.3733277576977046,False
2017-03-31,2016-12-31,TOM,0.35608891761069694,False
2017-03-31,2016-12-31,ATEA,0.26558726970028834,False
2017-03-31,2016-12-31,GJF,0.20620780487506002,False
2017-03-31,2016-12-31,PROT,0.1759776165353802,False
2017-03-31,2016-12-31,NHY,0.16911178155580892,False
2017-03-31,2016-12-31,ORK,0.04230381631590948,False
2017-03-31,2016-12-31,VEND,0.0009504217726738692,False
2017-03-31,2016-12-31,YAR,-0.16011315569027657,False
2017-03-31,2016-12-31,KOG,-0.18738709329049277,False
2017-03-31,2016-12-31,FRO,-0.2831583207847486,False
2017-03-31,2016-12-31,NOD,-0.3163573381414484,False
2017-03-31,2016-12-31,STB,-0.35958865379560984,False
2017-03-31,2016-12-31,AKRBP,-0.4602366224688486,False
2017-03-31,2016-12-31,EQNR,-0.5451416175743413,False
2017-03-31,2016-12-31,SUBC,-0.8527346263010759,False
2017-03-31,2016-12-31,DNB,-1.5400609967117773,False
2017-04-28,2017-01-28,SALM,0.912586494248771,True
2017-04-28,2017-01-28,AFG,0.8129677322571313,True
2017-04-28,2017-01-28,MOWI,0.47856061722049015,True
2017-04-28,2017-01-28,BRG,0.4099262753131342,True
2017-04-28,2017-01-28,VEI,0.3939321662409457,True
2017-04-28,2017-01-28,TEL,0.3733277576977046,False
2017-04-28,2017-01-28,TOM,0.35608891761069694,False
2017-04-28,2017-01-28,ATEA,0.26558726970028834,False
2017-04-28,2017-01-28,GJF,0.20620780487506002,False
2017-04-28,2017-01-28,PROT,0.1759776165353802,False
2017-04-28,2017-01-28,NHY,0.16911178155580892,False
2017-04-28,2017-01-28,ORK,0.04230381631590948,False
2017-04-28,2017-01-28,VEND,0.0009504217726738692,False
2017-04-28,2017-01-28,YAR,-0.16011315569027657,False
2017-04-28,2017-01-28,KOG,-0.18738709329049277,False
2017-04-28,2017-01-28,FRO,-0.2831583207847486,False
2017-04-28,2017-01-28,NOD,-0.3163573381414484,False
2017-04-28,2017-01-28,STB,-0.35958865379560984,False
2017-04-28,2017-01-28,AKRBP,-0.4602366224688486,False
2017-04-28,2017-01-28,EQNR,-0.5451416175743413,False
2017-04-28,2017-01-28,SUBC,-0.8527346263010759,False
2017-04-28,2017-01-28,DNB,-1.5400609967117773,False
