ticker,period_end_date,fundamental_score,quality_score,growth_score
TOM,2018-06-30,0.20633165776649964,0.21315672233941876,0.1858564640477423
BRG,2018-06-30,0.18423490404713685,0.17180894221289467,0.22151278954986342
SUBC,2018-06-30,0.18229320290586862,0.20694743340316102,0.10833051141399139
VEI,2018-06-30,0.05895644275349034,0.02606284771119656,0.15763722788037166
PROT,2018-06-30,-0.013593526646924894,-0.0447482163354038,0.07987054241851184
GJF,2018-06-30,-0.06655231343047796,-0.159034747745425,0.21089498951436317
YAR,2018-06-30,-0.12781854778384077,-0.17267366417277646,0.006746801382966403
STB,2018-06-30,-0.14591947721937165,-0.2963116651167539,0.3052570864727751
EQNR,2018-06-30,-0.4821519212426219,0.1621061127126663,-2.4149260231084866
MPCC,2018-06-30,-1.127421923726124,-1.5032292316348321,
DNB,2018-06-30,-1.218335405007743,-1.7531184797210098,0.38601381913205646
FRO,2018-06-30,-2.3065343459121435,-1.8462198262653933,-3.687477904852394
AFG,2018-09-30,0.8246833476647658,1.0152137888093664,0.2530920242309641
SALM,2018-09-30,0.8161146317065662,1.0091581975121298,0.23698393428987516
ELK,2018-09-30,0.4533977009265191,0.5086423247708377,0.2876638293935633
GJF,2018-09-30,0.3837708382820688,0.4394497389594501,0.21673413624992496
VEND,2018-09-30,0.28138583653521904,0.30764618399248733,0.20260479416341418
NOD,2018-09-30,0.2796481972963443,0.2771471182594209,0.2871514344071146
KOG,2018-09-30,0.25831605073132435,0.25888340416934147,0.25661399041727306
NHY,2018-09-30,0.2567438772792535,0.2514618827481341,0.2725898608726119
ORK,2018-09-30,0.2526851559710851,0.2510999848883241,0.25744066921936815
MOWI,2018-09-30,0.24337094385527366,0.2532379794680617,0.21376983701690958
TOM,2018-09-30,0.23084131302479421,0.23052011974276898,0.23180489287086997
TEL,2018-09-30,0.22043104493378252,0.2234919349884093,0.21124837476990208
VEI,2018-09-30,0.21589218979450872,0.21407823696777456,0.22133404827471112
AKRBP,2018-09-30,0.21027938044548802,0.15782261010256804,0.367649691474248
SUBC,2018-09-30,0.18531132156498578,0.17969519991983837,0.20215968650042807
ATEA,2018-09-30,0.16948081900996853,0.14693985623278055,0.23710370734153244
BRG,2018-09-30,0.140109169855449,0.11052588654164539,0.22885901979685988
EQNR,2018-09-30,0.0561665855799314,0.2528657099991234,-0.5339307876776446
